cinema_hall_id,row,number,status,locked_by,locked_at
1,A,1,available,,
1,A,2,available,,
1,A,3,available,,
1,A,4,available,,
1,A,5,available,,
1,A,6,available,,
1,A,7,available,,
1,A,8,available,,
1,A,9,available,,
1,A,10,available,,
1,B,1,available,,
1,B,2,available,,
1,B,3,available,,
1,B,4,unavailable,,
1,B,5,available,,
1,B,6,unavailable,,
1,B,7,available,,
1,B,8,available,,
1,B,9,available,,
1,B,10,available,,
1,C,1,available,,
1,C,2,available,,
1,C,3,unavailable,,
1,C,4,available,,
1,C,5,unavailable,,
1,C,6,available,,
1,C,7,available,,
1,C,8,available,,
1,C,9,available,,
1,C,10,available,,
1,D,1,available,,
1,D,2,unavailable,,
1,D,3,available,,
1,D,4,unavailable,,
1,D,5,available,,
1,D,6,unavailable,,
1,D,7,available,,
1,D,8,available,,
1,D,9,available,,
1,D,10,available,,
1,E,1,available,,
1,E,2,available,,
1,E,3,available,,
1,E,4,unavailable,,
1,E,5,unavailable,,
1,E,6,unavailable,,
1,E,7,available,,
1,E,8,available,,
1,E,9,available,,
1,E,10,available,,
1,F,1,available,,
1,F,2,available,,
1,F,3,available,,
1,F,4,available,,
1,F,5,unavailable,,
1,F,6,available,,
1,F,7,available,,
1,F,8,available,,
1,F,9,available,,
1,F,10,available,,
1,G,1,available,,
1,G,2,available,,
1,G,3,available,,
1,G,4,available,,
1,G,5,available,,
1,G,6,available,,
1,G,7,available,,
1,G,8,available,,
1,G,9,available,,
1,G,10,available,,
1,H,1,available,,
1,H,2,available,,
1,H,3,available,,
1,H,4,available,,
1,H,5,available,,
1,H,6,available,,
1,H,7,available,,
1,H,8,available,,
1,H,9,available,,
1,H,10,available,,
